127.0.0.1, 2019-09-13 10:17:39, GET, /locadora/default/index, HTTP/1.1, 500, 0.053659
127.0.0.1, 2019-09-13 10:17:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2019-09-13 10:17:49, GET, /locadora/default/novo_filme, HTTP/1.1, 500, 0.061232
127.0.0.1, 2019-09-13 10:17:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2019-09-13 10:17:51, GET, /admin/default/ticket/locadora/127.0.0.1.2019-09-13.10-17-49.ebe33998-1d78-4732-8f99-359dba8911fc, HTTP/1.1, 303, 0.274669
127.0.0.1, 2019-09-13 10:17:51, GET, /admin/default/index, HTTP/1.1, 200, 0.032832
127.0.0.1, 2019-09-13 10:17:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2019-09-13 10:17:53, POST, /admin/default/index, HTTP/1.1, 303, 0.005919
127.0.0.1, 2019-09-13 10:17:53, GET, /admin/default/ticket/locadora/127.0.0.1.2019-09-13.10-17-49.ebe33998-1d78-4732-8f99-359dba8911fc, HTTP/1.1, 200, 0.055962
127.0.0.1, 2019-09-13 10:17:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000923
127.0.0.1, 2019-09-13 10:19:57, GET, /admin/default/ticket/locadora/127.0.0.1.2019-09-13.10-17-49.ebe33998-1d78-4732-8f99-359dba8911fc, HTTP/1.1, 200, 0.025497
127.0.0.1, 2019-09-13 10:19:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2019-09-13 10:19:58, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.027303
127.0.0.1, 2019-09-13 10:19:59, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000531
127.0.0.1, 2019-09-13 10:20:04, GET, /locadora/appadmin, HTTP/1.1, 200, 0.056097
127.0.0.1, 2019-09-13 10:20:05, GET, /locadora/appadmin/hooks, HTTP/1.1, 200, 0.128261
127.0.0.1, 2019-09-13 10:20:12, GET, /locadora/appadmin/select/db, HTTP/1.1, 200, 0.046682
127.0.0.1, 2019-09-13 10:24:30, GET, /locadora/appadmin, HTTP/1.1, 200, 0.058540
127.0.0.1, 2019-09-13 10:24:30, GET, /locadora/appadmin/hooks, HTTP/1.1, 200, 0.156568
127.0.0.1, 2019-09-13 10:24:33, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.031027
127.0.0.1, 2019-09-13 10:24:41, POST, /locadora/default/novo_filme, HTTP/1.1, 200, 0.047489
127.0.0.1, 2019-09-13 10:25:51, GET, /locadora/appadmin, HTTP/1.1, 200, 0.033642
127.0.0.1, 2019-09-13 10:25:52, GET, /locadora/appadmin/hooks, HTTP/1.1, 200, 0.131848
127.0.0.1, 2019-09-13 10:25:55, GET, /locadora/appadmin/select/db, HTTP/1.1, 200, 0.035063
127.0.0.1, 2019-09-13 10:26:01, GET, /locadora/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.060810
127.0.0.1, 2019-09-13 10:36:12, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.039080
